diameter_min;diameter_max;pitch;3h4h_d_es_m;3h4h_d_ei_m;3h4h_d2_es_m;3h4h_d2_ei_m;3h4h_d1_es_m;4g_d_es_m;4g_d_ei_m;4g_d2_es_m;4g_d2_ei_m;4g_d1_es_m;4h_d_es_m;4h_d_ei_m;4h_d2_es_m;4h_d2_ei_m;4h_d1_es_m;5h4h_d_es_m;5h4h_d_ei_m;5h4h_d2_es_m;5h4h_d2_ei_m;5h4h_d1_es_m;5g6g_d_es_m;5g6g_d_ei_m;5g6g_d2_es_m;5g6g_d2_ei_m;5g6g_d1_es_m;5h6h_d_es_m;5h6h_d_ei_m;5h6h_d2_es_m;5h6h_d2_ei_m;5h6h_d1_es_m;6d_d_es_m;6d_d_ei_m;6d_d2_es_m;6d_d2_ei_m;6d_d1_es_m;6e_d_es_m;6e_d_ei_m;6e_d2_es_m;6e_d2_ei_m;6e_d1_es_m;6f_d_es_m;6f_d_ei_m;6f_d2_es_m;6f_d2_ei_m;6f_d1_es_m;6g_d_es_m;6g_d_ei_m;6g_d2_es_m;6g_d2_ei_m;6g_d1_es_m;6h_d_es_m;6h_d_ei_m;6h_d2_es_m;6h_d2_ei_m;6h_d1_es_m;7e6e_d_es_m;7e6e_d_ei_m;7e6e_d2_es_m;7e6e_d2_ei_m;7e6e_d1_es_m;7g6g_d_es_m;7g6g_d_ei_m;7g6g_d2_es_m;7g6g_d2_ei_m;7g6g_d1_es_m;7h6h_d_es_m;7h6h_d_ei_m;7h6h_d2_es_m;7h6h_d2_ei_m;7h6h_d1_es_m;8g_d_es_m;8g_d_ei_m;8g_d2_es_m;8g_d2_ei_m;8g_d1_ei_m;8h_d_es_m;8h_d_ei_m;8h_d2_es_m;8h_d2_ei_m;8h_d1_ei_m;8h6h_d_es_m;8h6h_d_ei_m;8h6h_d2_es_m;8h6h_d2_ei_m;8h6h_d1_ei_m;9g8g_d_es_m;9g8g_d_ei_m;9g8g_d2_es_m;9g8g_d2_ei_m;9g8g_d1_ei_m;4h_d_ei_f;4h_d2_es_f;4h_d2_ei_f;4h_d1_es_f;4h_d1_ei_f;4h5h_d_ei_f;4h5h_d2_es_f;4h5h_d2_ei_f;4h5h_d1_es_f;4h5h_d1_ei_f;5g_d_ei_f;5g_d2_es_f;5g_d2_ei_f;5g_d1_es_f;5g_d1_ei_f;5h_d_ei_f;5h_d2_es_f;5h_d2_ei_f;5h_d1_es_f;5h_d1_ei_f;6g_d_ei_f;6g_d2_es_f;6g_d2_ei_f;6g_d1_es_f;6g_d1_ei_f;6h_d_ei_f;6h_d2_es_f;6h_d2_ei_f;6h_d1_es_f;6h_d1_ei_f;7g_d_ei_f;7g_d2_es_f;7g_d2_ei_f;7g_d1_es_f;7g_d1_ei_f;7h_d_ei_f;7h_d2_es_f;7h_d2_ei_f;7h_d1_es_f;7h_d1_ei_f;8g_d_ei_f;8g_d2_es_f;8g_d2_ei_f;8g_d1_es_f;8g_d1_ei_f;8h_d_ei_f;8h_d2_es_f;8h_d2_ei_f;8h_d1_es_f;8h_d1_ei_f
2.8;5.6;0.5;0;-67;0;-38;0;-20;-87;-20;-68;-20;0;-67;0;-48;0;0;-67;0;-60;0;-20;-126;-20;-80;-20;0;-106;0;-60;0;;;;;;-50;-156;-50;-125;-50;-36;-142;-36;-111;-36;-20;-126;-20;-95;-20;0;-106;0;-75;0;-50;-156;-50;-145;-50;-20;-126;-20;-115;-20;0;-106;0;-95;0;;;;;;;;;;;0;-106;0;-118;0;;;;;;0;63;0;90;0;0;63;0;112;0;20;100;20;132;20;0;80;0;112;0;20;120;20;160;20;0;100;0;140;0;20;145;20;200;20;0;125;0;180;0;;;;;;;;;;
2.8;5.6;0.6;0;-80;0;-42;0;-21;-101;-21;-74;-21;0;-80;0;-53;0;0;-80;0;-67;0;-21;-146;-21;-88;-21;0;-125;0;-67;0;;;;;;-53;-178;-53;-138;-53;-36;-161;-36;-121;-36;-21;-146;-21;-106;-21;0;-125;0;-85;0;-53;-178;-53;-159;-53;-21;-146;-21;-127;-21;0;-125;0;-106;0;;;;;;;;;;;0;-125;0;-132;0;;;;;;0;71;0;100;0;0;71;0;125;0;21;111;21;146;21;0;90;0;125;0;21;133;21;181;21;0;112;0;160;0;21;161;21;221;21;0;140;0;200;0;;;;;;;;;;
2.8;5.6;0.7;0;-90;0;-45;0;-22;-112;-22;-78;-22;0;-90;0;-56;0;0;-90;0;-71;0;-22;-162;-22;-93;-22;0;-140;0;-71;0;;;;;;-56;-196;-56;-146;-56;-38;-178;-38;-128;-38;-22;-162;-22;-112;-22;0;-140;0;-90;0;-56;-196;-56;-168;-56;-22;-162;-22;-134;-22;0;-140;0;-112;0;;;;;;;;;;;0;-140;0;-140;0;;;;;;0;75;0;112;0;0;75;0;140;0;22;117;22;162;22;0;95;0;140;0;22;140;22;202;22;0;118;0;180;0;22;172;22;246;22;0;150;0;224;0;;;;;;;;;;
2.8;5.6;0.75;0;-90;0;-45;0;-22;-112;-22;-78;-22;0;-90;0;-56;0;0;-90;0;-71;0;-22;-162;-22;-93;-22;0;-140;0;-71;0;;;;;;-56;-196;-56;-146;-56;-38;-178;-38;-128;-38;-22;-162;-22;-112;-22;0;-140;0;-90;0;-56;-196;-56;-168;-56;-22;-162;-22;-134;-22;0;-140;0;-112;0;;;;;;;;;;;0;-140;0;-140;0;;;;;;0;75;0;118;0;0;75;0;150;0;22;117;22;172;22;0;95;0;150;0;22;140;22;212;22;0;118;0;190;0;22;172;22;258;22;0;150;0;236;0;;;;;;;;;;
2.8;5.6;0.8;0;-95;0;-48;0;-24;-119;-24;-84;-24;0;-95;0;-60;0;0;-95;0;-75;0;-24;-174;-24;-99;-24;0;-150;0;-75;0;;;;;;-60;-210;-60;-155;-60;-38;-188;-38;-133;-38;-24;-174;-24;-119;-24;0;-150;0;-95;0;-60;-210;-60;-178;-60;-24;-174;-24;-142;-24;0;-150;0;-118;0;-24;-260;-24;-174;-24;0;-150;0;-150;0;;;;;;-24;-260;-24;-214;-24;0;80;0;125;0;0;80;0;160;0;24;124;24;184;24;0;100;0;160;0;24;149;24;224;24;0;125;0;200;0;24;184;24;274;24;0;160;0;250;0;24;224;24;339;24;0;200;0;315;0
5.6;11.2;0.25;0;-42;0;-32;0;-18;-60;-18;-58;-18;0;-42;0;-40;0;0;-42;0;-50;0;-18;-85;-18;-68;-18;0;-67;0;-50;0;;;;;;;;;;;-33;-100;-33;-96;-33;-18;-85;-18;-81;-18;0;-67;0;-63;0;;;;;;-18;-85;-18;-99;-18;0;-67;0;-80;0;;;;;;;;;;;;;;;;;;;;;0;53;0;45;0;0;53;0;56;0;18;85;18;74;18;0;67;0;56;0;18;103;18;89;18;0;85;0;71;0;;;;;;;;;;;;;;;;;;;;
5.6;11.2;0.35;0;-53;0;-36;0;-19;-72;-19;-64;-19;0;-53;0;-45;0;0;-53;0;-56;0;-19;-104;-19;-75;-19;0;-85;0;-56;0;;;;;;;;;;;-34;-119;-34;-105;-34;-19;-104;-19;-90;-19;0;-85;0;-71;0;;;;;;-19;-104;-19;-109;-19;0;-85;0;-90;0;;;;;;;;;;;;;;;;;;;;;0;60;0;63;0;0;60;0;80;0;19;94;19;99;19;0;75;0;80;0;19;114;19;119;19;0;95;0;100;0;;;;;;;;;;;;;;;;;;;;
5.6;11.2;0.5;0;-67;0;-42;0;-20;-87;-20;-73;-20;0;-67;0;-53;0;0;-67;0;-67;0;-20;-126;-20;-87;-20;0;-106;0;-67;0;;;;;;-50;-156;-50;-135;-50;-36;-142;-36;-121;-36;-20;-126;-20;-105;-20;0;-106;0;-85;0;-50;-156;-50;-156;-50;-20;-126;-20;-126;-20;0;-106;0;-106;0;;;;;;;;;;;0;-106;0;-132;0;;;;;;0;71;0;90;0;0;71;0;112;0;20;100;20;132;20;0;90;0;112;0;20;132;20;160;20;0;112;0;140;0;20;160;20;200;20;0;140;0;180;0;;;;;;;;;;
5.6;11.2;0.75;0;-90;0;-50;0;-22;-112;-22;-85;-22;0;-90;0;-63;0;0;-90;0;-80;0;-22;-162;-22;-102;-22;0;-140;0;-80;0;;;;;;-56;-196;-56;-156;-56;-38;-178;-38;-138;-38;-22;-162;-22;-122;-22;0;-140;0;-100;0;-56;-196;-56;-181;-56;-22;-162;-22;-147;-22;0;-140;0;-125;0;;;;;;;;;;;0;-140;0;-160;0;;;;;;0;85;0;118;0;0;85;0;150;0;22;128;22;172;22;0;106;0;150;0;22;154;22;212;22;0;132;0;190;0;22;192;22;258;22;0;170;0;236;0;;;;;;;;;;
5.6;11.2;1;0;-112;0;-56;0;-26;-138;-26;-97;-26;0;-112;0;-71;0;0;-112;0;-90;0;-26;-206;-26;-116;-26;0;-180;0;-90;0;-90;-270;-90;-202;-90;-60;-240;-60;-172;-60;-40;-220;-40;-152;-40;-26;-206;-26;-138;-26;0;-180;0;-112;0;-60;-240;-60;-200;-60;-26;-206;-26;-166;-26;0;-180;0;-140;0;-26;-306;-26;-206;-26;0;-280;0;-180;0;;;;;;-26;-306;-26;-256;-26;0;95;0;150;0;0;95;0;190;0;26;144;26;216;26;0;118;0;190;0;26;176;26;262;26;0;150;0;236;0;26;216;26;326;26;0;190;0;300;0;26;262;26;401;26;0;236;0;375;0
5.6;11.2;1.25;0;-132;0;-60;0;-28;-160;-28;-103;-28;0;-132;0;-75;0;0;-132;0;-95;0;-28;-240;-28;-123;-28;0;-212;0;-95;0;-95;-307;-95;-213;-95;-63;-275;-63;-181;-63;-42;-254;-42;-160;-42;-28;-240;-28;-146;-28;0;-212;0;-118;0;-63;-275;-63;-213;-63;-28;-240;-28;-178;-28;0;-212;0;-150;0;-28;-363;-28;-218;-28;0;-335;0;-190;0;;;;;;-28;-363;-28;-264;-28;0;100;0;170;0;0;100;0;212;0;28;153;28;240;28;0;125;0;212;0;28;188;28;293;28;0;160;0;265;0;28;228;28;363;28;0;200;0;335;0;28;278;28;453;28;0;250;0;425;0
5.6;11.2;1.5;0;-150;0;-67;0;-32;-182;-32;-117;-32;0;-150;0;-85;0;0;-150;0;-106;0;-32;-268;-32;-138;-32;0;-236;0;-106;0;-95;-331;-95;-227;-95;-67;-303;-67;-199;-67;-45;-281;-45;-177;-45;-32;-268;-32;-164;-32;0;-236;0;-132;0;-67;-303;-67;-237;-67;-32;-268;-32;-202;-32;0;-236;0;-170;0;-32;-407;-32;-244;-32;0;-375;0;-212;0;;;;;;-32;-407;-32;-297;-32;0;112;0;190;0;0;112;0;236;0;32;172;32;268;32;0;140;0;236;0;32;212;32;332;32;0;180;0;300;0;32;256;32;407;32;0;224;0;375;0;32;312;32;507;32;0;280;0;475;0
11.2;22.4;0.35;0;-53;0;-38;0;-19;-72;-19;-67;-19;0;-53;0;-48;0;0;-53;0;-60;0;-19;-104;-19;-79;-19;0;-85;0;-60;0;;;;;;;;;;;-34;-119;-34;-109;-34;-19;-104;-19;-94;-19;0;-85;0;-75;0;;;;;;-19;-104;-19;-114;-19;0;-85;0;-95;0;;;;;;;;;;;;;;;;;;;;;0;63;0;63;0;0;63;0;80;0;19;99;19;99;19;0;80;0;80;0;19;119;19;119;19;0;100;0;100;0;;;;;;;;;;;;;;;;;;;;
11.2;22.4;0.5;0;-67;0;-45;0;-20;-87;-20;-76;-20;0;-67;0;-56;0;0;-67;0;-71;0;-20;-126;-20;-91;-20;0;-106;0;-71;0;;;;;;-50;-156;-50;-140;-50;-36;-142;-36;-126;-36;-20;-126;-20;-110;-20;0;-106;0;-90;0;-50;-156;-50;-162;-50;-20;-126;-20;-132;-20;0;-106;0;-112;0;;;;;;;;;;;0;-106;0;-140;0;;;;;;0;75;0;90;0;0;75;0;112;0;20;115;20;132;20;0;95;0;112;0;20;138;20;160;20;0;118;0;140;0;20;170;20;200;20;0;150;0;180;0;;;;;;;;;;
11.2;22.4;0.75;0;-90;0;-53;0;-22;-112;-22;-89;-22;0;-90;0;-67;0;0;-90;0;-85;0;-22;-162;-22;-107;-22;0;-140;0;-85;0;;;;;;-56;-196;-56;-162;-56;-38;-178;-38;-144;-38;-22;-162;-22;-128;-22;0;-140;0;-106;0;-56;-196;-56;-188;-56;-22;-162;-22;-154;-22;0;-140;0;-132;0;;;;;;;;;;;0;-140;0;-170;0;;;;;;0;90;0;118;0;0;90;0;150;0;22;134;22;172;22;0;112;0;150;0;22;162;22;212;22;0;140;0;190;0;22;202;22;258;22;0;180;0;236;0;;;;;;;;;;
11.2;22.4;1;0;-112;0;-60;0;-26;-138;-26;-101;-26;0;-112;0;-75;0;0;-112;0;-95;0;-26;-206;-26;-121;-26;0;-180;0;-95;0;-90;-270;-90;-208;-90;-60;-240;-60;-178;-60;-40;-220;-40;-158;-40;-26;-206;-26;-144;-26;0;-180;0;-118;0;-60;-240;-60;-210;-60;-26;-206;-26;-176;-26;0;-180;0;-150;0;-26;-306;-26;-216;-26;0;-280;0;-190;0;;;;;;-26;-306;-26;-262;-26;0;100;0;150;0;0;100;0;190;0;26;151;26;216;26;0;125;0;190;0;26;186;26;262;26;0;160;0;236;0;26;226;26;326;26;0;200;0;300;0;26;276;26;401;26;0;250;0;375;0
11.2;22.4;1.25;0;-132;0;-67;0;-28;-160;-28;-113;-28;0;-132;0;-85;0;0;-132;0;-106;0;-28;-240;-28;-134;-28;0;-212;0;-106;0;-95;-307;-95;-227;-95;-63;-275;-63;-195;-63;-42;-254;-42;-174;-42;-28;-240;-28;-160;-28;0;-212;0;-132;0;-63;-275;-63;-233;-63;-28;-240;-28;-198;-28;0;-212;0;-170;0;-28;-363;-28;-240;-28;0;-335;0;-212;0;;;;;;-28;-363;-28;-293;-28;0;112;0;170;0;0;112;0;212;0;28;168;28;240;28;0;140;0;212;0;28;208;28;293;28;0;180;0;265;0;28;252;28;363;28;0;224;0;335;0;28;308;28;453;28;0;280;0;425;0
11.2;22.4;1.5;0;-150;0;-71;0;-32;-182;-32;-122;-32;0;-150;0;-90;0;0;-150;0;-112;0;-32;-268;-32;-144;-32;0;-236;0;-112;0;-95;-331;-95;-235;-95;-67;-303;-67;-207;-67;-45;-281;-45;-185;-45;-32;-268;-32;-172;-32;0;-236;0;-140;0;-67;-303;-67;-247;-67;-32;-268;-32;-212;-32;0;-236;0;-180;0;-32;-407;-32;-256;-32;0;-375;0;-224;0;;;;;;-32;-407;-32;-312;-32;0;118;0;190;0;0;118;0;236;0;32;182;32;268;32;0;150;0;236;0;32;222;32;332;32;0;190;0;300;0;32;268;32;407;32;0;236;0;375;0;32;332;32;507;32;0;300;0;475;0
11.2;22.4;1.75;0;-170;0;-75;0;-34;-204;-34;-129;-34;0;-170;0;-95;0;0;-170;0;-118;0;-34;-299;-34;-152;-34;0;-265;0;-118;0;-100;-365;-100;-250;-100;-71;-336;-71;-221;-71;-48;-313;-48;-198;-48;-34;-299;-34;-184;-34;0;-265;0;-150;0;-71;-336;-71;-261;-71;-34;-299;-34;-224;-34;0;-265;0;-190;0;-34;-459;-34;-270;-34;0;-425;0;-236;0;;;;;;-34;-459;-34;-334;-34;0;125;0;212;0;0;125;0;265;0;34;194;34;299;34;0;160;0;265;0;34;234;34;369;34;0;200;0;335;0;34;284;34;459;34;0;250;0;425;0;34;349;34;564;34;0;315;0;530;0
11.2;22.4;2;0;-180;0;-80;0;-38;-218;-38;-138;-38;0;-180;0;-100;0;0;-180;0;-125;0;-38;-318;-38;-163;-38;0;-280;0;-125;0;-100;-380;-100;-260;-100;-71;-351;-71;-231;-71;-52;-332;-52;-212;-52;-38;-318;-38;-198;-38;0;-280;0;-160;0;-71;-351;-71;-271;-71;-38;-318;-38;-238;-38;0;-280;0;-200;0;-38;-488;-38;-288;-38;0;-450;0;-250;0;;;;;;-38;-488;-38;-353;-38;0;132;0;236;0;0;132;0;300;0;38;208;38;338;38;0;170;0;300;0;38;250;38;413;38;0;212;0;375;0;38;303;38;513;38;0;265;0;475;0;38;373;38;638;38;0;335;0;600;0
11.2;22.4;2.5;0;-212;0;-85;0;-42;-254;-42;-148;-42;0;-212;0;-106;0;0;-212;0;-132;0;-42;-377;-42;-174;-42;0;-335;0;-132;0;-106;-441;-106;-276;-106;-80;-415;-80;-250;-80;-58;-393;-58;-228;-58;-42;-377;-42;-212;-42;0;-335;0;-170;0;-80;-415;-80;-292;-80;-42;-377;-42;-254;-42;0;-335;0;-212;0;-42;-572;-42;-307;-42;0;-530;0;-265;0;;;;;;-42;-572;-42;-377;-42;0;140;0;280;0;0;140;0;355;0;42;222;42;397;42;0;180;0;355;0;42;266;42;492;42;0;224;0;450;0;42;322;42;602;42;0;280;0;560;0;42;397;42;752;42;0;355;0;710;0
22.4;45;0.5;0;-67;0;-48;0;-20;-87;-20;-80;-20;0;-67;0;-60;0;0;-67;0;-75;0;-20;-126;-20;-95;-20;0;-106;0;-75;0;;;;;;-50;-156;-50;-145;-50;-36;-142;-36;-131;-36;-20;-126;-20;-115;-20;0;-106;0;-95;0;-50;-156;-50;-168;-50;-20;-126;-20;-138;-20;0;-106;0;-118;0;;;;;;;;;;;;;;;;;;;;;0;80;0;90;0;0;80;0;112;0;20;120;20;132;20;0;100;0;112;0;20;145;20;160;20;0;125;0;140;0;;;;;;;;;;;;;;;;;;;;
22.4;45;0.75;0;-90;0;-56;0;-22;-112;-22;-93;-22;0;-90;0;-71;0;0;-90;0;-90;0;-22;-162;-22;-112;-22;0;-140;0;-90;0;;;;;;-56;-196;-56;-168;-56;-38;-178;-38;-150;-38;-22;-162;-22;-134;-22;0;-140;0;-112;0;-56;-196;-56;-196;-56;-22;-162;-22;-162;-22;0;-140;0;-140;0;;;;;;;;;;;0;-140;0;-180;0;;;;;;0;95;0;118;0;0;95;0;150;0;22;140;22;172;22;0;118;0;150;0;22;172;22;212;22;0;150;0;190;0;22;212;22;258;22;0;190;0;236;0;;;;;;;;;;
22.4;45;1;0;-112;0;-63;0;-26;-138;-26;-106;-26;0;-112;0;-80;0;0;-112;0;-100;0;-26;-206;-26;-126;-26;0;-180;0;-100;0;-90;-270;-90;-215;-90;-60;-240;-60;-185;-60;-40;-220;-40;-165;-40;-26;-206;-26;-151;-26;0;-180;0;-125;0;-60;-240;-60;-220;-60;-26;-206;-26;-186;-26;0;-180;0;-160;0;-26;-306;-26;-226;-26;0;-280;0;-200;0;;;;;;-26;-306;-26;-276;-26;0;106;0;150;0;0;106;0;190;0;26;158;26;216;26;0;132;0;190;0;26;196;26;262;26;0;170;0;236;0;26;238;26;326;26;0;212;0;300;0;26;291;26;401;26;0;265;0;375;0
22.4;45;1.5;0;-150;0;-75;0;-32;-182;-32;-127;-32;0;-150;0;-95;0;0;-150;0;-118;0;-32;-268;-32;-150;-32;0;-236;0;-118;0;-95;-331;-95;-245;-95;-67;-303;-67;-217;-67;-45;-281;-45;-195;-45;-32;-268;-32;-182;-32;0;-236;0;-150;0;-67;-303;-67;-257;-67;-32;-268;-32;-222;-32;0;-236;0;-190;0;-32;-407;-32;-268;-32;0;-375;0;-236;0;;;;;;-32;-407;-32;-332;-32;0;125;0;190;0;0;125;0;236;0;32;192;32;268;32;0;160;0;236;0;32;232;32;332;32;0;200;0;300;0;32;282;32;407;32;0;250;0;375;0;32;347;32;507;32;0;315;0;475;0
