id,diam,pitch,pitch_diam_d2,minor_diam_d1,minor_diam_d3
270,110,6,106.1028857,103.5048095,102.6387841
271,110,4,107.4019238,105.669873,105.0925227
272,110,3,108.0514428,106.7524047,106.319392
273,110,2,108.7009619,107.8349365,107.5462614
274,110,1.5,109.0257214,108.3762024,108.159696
275,115,6,111.1028857,108.5048095,107.6387841
276,115,4,112.4019238,110.669873,110.0925227
277,115,3,113.0514428,111.7524047,111.319392
278,115,2,113.7009619,112.8349365,112.5462614
279,115,1.5,114.0257214,113.3762024,113.159696
280,120,6,116.1028857,113.5048095,112.6387841
281,120,4,117.4019238,115.669873,115.0925227
282,120,3,118.0514428,116.7524047,116.319392
283,120,2,118.7009619,117.8349365,117.5462614
284,120,1.5,119.0257214,118.3762024,118.159696
285,125,8,119.8038476,116.339746,115.1850454
286,125,6,121.1028857,118.5048095,117.6387841
287,125,4,122.4019238,120.669873,120.0925227
288,125,3,123.0514428,121.7524047,121.319392
289,125,2,123.7009619,122.8349365,122.5462614
290,125,1.5,124.0257214,123.3762024,123.159696
291,130,8,124.8038476,121.339746,120.1850454
292,130,6,126.1028857,123.5048095,122.6387841
293,130,4,127.4019238,125.669873,125.0925227
294,130,3,128.0514428,126.7524047,126.319392
295,130,2,128.7009619,127.8349365,127.5462614
296,130,1.5,129.0257214,128.3762024,128.159696
297,135,6,131.1028857,128.5048095,127.6387841
298,135,4,132.4019238,130.669873,130.0925227
299,135,3,133.0514428,131.7524047,131.319392
300,135,2,133.7009619,132.8349365,132.5462614
301,135,1.5,134.0257214,133.3762024,133.159696
302,140,8,134.8038476,131.339746,130.1850454
303,140,6,136.1028857,133.5048095,132.6387841
304,140,4,137.4019238,135.669873,135.0925227
305,140,3,138.0514428,136.7524047,136.319392
306,140,2,138.7009619,137.8349365,137.5462614
307,140,1.5,139.0257214,138.3762024,138.159696
308,145,6,141.1028857,138.5048095,137.6387841
309,145,4,142.4019238,140.669873,140.0925227
310,145,3,143.0514428,141.7524047,141.319392
311,145,2,143.7009619,142.8349365,142.5462614
312,145,1.5,144.0257214,143.3762024,143.159696
313,150,8,144.8038476,141.339746,140.1850454
314,150,6,146.1028857,143.5048095,142.6387841
315,150,4,147.4019238,145.669873,145.0925227
316,150,3,148.0514428,146.7524047,146.319392
317,150,2,148.7009619,147.8349365,147.5462614
318,150,1.5,149.0257214,148.3762024,148.159696
319,155,6,151.1028857,148.5048095,147.6387841
320,155,4,152.4019238,150.669873,150.0925227
321,155,3,153.0514428,151.7524047,151.319392
322,155,2,153.7009619,152.8349365,152.5462614
323,160,8,154.8038476,151.339746,150.1850454
324,160,6,156.1028857,153.5048095,152.6387841
325,160,4,157.4019238,155.669873,155.0925227
326,160,3,158.0514428,156.7524047,156.319392
327,160,2,158.7009619,157.8349365,157.5462614
328,165,6,161.1028857,158.5048095,157.6387841
329,165,4,162.4019238,160.669873,160.0925227
330,165,3,163.0514428,161.7524047,161.319392
331,165,2,163.7009619,162.8349365,162.5462614
332,170,8,164.8038476,161.339746,160.1850454
333,170,6,166.1028857,163.5048095,162.6387841
334,170,4,167.4019238,165.669873,165.0925227
335,170,3,168.0514428,166.7524047,166.319392
336,170,2,168.7009619,167.8349365,167.5462614
337,175,6,171.1028857,168.5048095,167.6387841
338,175,4,172.4019238,170.669873,170.0925227
339,175,3,173.0514428,171.7524047,171.319392
340,175,2,173.7009619,172.8349365,172.5462614
341,180,8,174.8038476,171.339746,170.1850454
342,180,6,176.1028857,173.5048095,172.6387841
343,180,4,177.4019238,175.669873,175.0925227
344,180,3,178.0514428,176.7524047,176.319392
345,180,2,178.7009619,177.8349365,177.5462614
346,185,6,181.1028857,178.5048095,177.6387841
347,185,4,182.4019238,180.669873,180.0925227
348,185,3,183.0514428,181.7524047,181.319392
349,185,2,183.7009619,182.8349365,182.5462614
350,190,8,184.8038476,181.339746,180.1850454
351,190,6,186.1028857,183.5048095,182.6387841
352,190,4,187.4019238,185.669873,185.0925227
353,190,3,188.0514428,186.7524047,186.319392
354,190,2,188.7009619,187.8349365,187.5462614
355,195,6,191.1028857,188.5048095,187.6387841
356,195,4,192.4019238,190.669873,190.0925227
357,195,3,193.0514428,191.7524047,191.319392
358,195,2,193.7009619,192.8349365,192.5462614
359,200,8,194.8038476,191.339746,190.1850454
360,200,6,196.1028857,193.5048095,192.6387841
361,200,4,197.4019238,195.669873,195.0925227
362,200,3,198.0514428,196.7524047,196.319392
363,200,2,198.7009619,197.8349365,197.5462614
364,205,6,201.1028857,198.5048095,197.6387841
365,205,4,202.4019238,200.669873,200.0925227
366,205,3,203.0514428,201.7524047,201.319392
367,210,8,204.8038476,201.339746,200.1850454
368,210,6,206.1028857,203.5048095,202.6387841
369,210,4,207.4019238,205.669873,205.0925227
370,210,3,208.0514428,206.7524047,206.319392
371,215,6,211.1028857,208.5048095,207.6387841
372,215,4,212.4019238,210.669873,210.0925227
373,215,3,213.0514428,211.7524047,211.319392
374,220,8,214.8038476,211.339746,210.1850454
375,220,6,216.1028857,213.5048095,212.6387841
376,220,4,217.4019238,215.669873,215.0925227
377,220,3,218.0514428,216.7524047,216.319392
378,225,6,221.1028857,218.5048095,217.6387841
379,225,4,222.4019238,220.669873,220.0925227
380,225,3,223.0514428,221.7524047,221.319392
381,230,8,224.8038476,221.339746,220.1850454
382,230,6,226.1028857,223.5048095,222.6387841
383,230,4,227.4019238,225.669873,225.0925227
384,230,3,228.0514428,226.7524047,226.319392
385,235,6,231.1028857,228.5048095,227.6387841
386,235,4,232.4019238,230.669873,230.0925227
387,235,3,233.0514428,231.7524047,231.319392
388,240,8,234.8038476,231.339746,230.1850454
389,240,6,236.1028857,233.5048095,232.6387841
390,240,4,237.4019238,235.669873,235.0925227
391,240,3,238.0514428,236.7524047,236.319392
392,245,6,241.1028857,238.5048095,237.6387841
393,245,4,242.4019238,240.669873,240.0925227
394,245,3,243.0514428,241.7524047,241.319392
395,250,8,244.8038476,241.339746,240.1850454
396,250,6,246.1028857,243.5048095,242.6387841
397,250,4,247.4019238,245.669873,245.0925227
398,250,3,248.0514428,246.7524047,246.319392
399,255,6,251.1028857,248.5048095,247.6387841
400,255,4,252.4019238,250.669873,250.0925227
401,255,3,253.0514428,251.7524047,251.319392
402,260,8,254.8038476,251.339746,250.1850454
403,260,6,256.1028857,253.5048095,252.6387841
404,260,4,257.4019238,255.669873,255.0925227
405,260,3,258.0514428,256.7524047,256.319392
406,265,6,261.1028857,258.5048095,257.6387841
407,265,4,262.4019238,260.669873,260.0925227
408,265,3,263.0514428,261.7524047,261.319392
409,270,8,264.8038476,261.339746,260.1850454
410,270,6,266.1028857,263.5048095,262.6387841
411,270,4,267.4019238,265.669873,265.0925227
412,270,3,268.0514428,266.7524047,266.319392
413,275,6,271.1028857,268.5048095,267.6387841
414,275,4,272.4019238,270.669873,270.0925227
415,275,3,273.0514428,271.7524047,271.319392
416,280,8,274.8038476,271.339746,270.1850454
417,280,6,276.1028857,273.5048095,272.6387841
418,280,4,277.4019238,275.669873,275.0925227
419,280,3,278.0514428,276.7524047,276.319392
420,285,6,281.1028857,278.5048095,277.6387841
421,285,4,282.4019238,280.669873,280.0925227
422,285,3,283.0514428,281.7524047,281.319392
423,290,8,284.8038476,281.339746,280.1850454
424,290,6,286.1028857,283.5048095,282.6387841
425,290,4,287.4019238,285.669873,285.0925227
426,290,3,288.0514428,286.7524047,286.319392
427,295,6,291.1028857,288.5048095,287.6387841
428,295,4,292.4019238,290.669873,290.0925227
429,295,3,293.0514428,291.7524047,291.319392
430,300,8,294.8038476,291.339746,290.1850454
431,300,6,296.1028857,293.5048095,292.6387841
432,300,4,297.4019238,295.669873,295.0925227
433,300,3,298.0514428,296.7524047,296.319392
434,310,6,306.1028857,303.5048095,302.6387841
435,310,4,307.4019238,305.669873,305.0925227
436,320,8,314.8038476,311.339746,310.1850454
437,320,6,316.1028857,313.5048095,312.6387841
438,320,4,317.4019238,315.669873,315.0925227
439,330,6,326.1028857,323.5048095,322.6387841
440,330,4,327.4019238,325.669873,325.0925227
441,340,8,334.8038476,331.339746,330.1850454
442,340,6,336.1028857,333.5048095,332.6387841
443,340,4,337.4019238,335.669873,335.0925227
444,350,6,346.1028857,343.5048095,342.6387841
445,350,4,347.4019238,345.669873,345.0925227
446,360,8,354.8038476,351.339746,350.1850454
447,360,6,356.1028857,353.5048095,352.6387841
448,360,4,357.4019238,355.669873,355.0925227
449,370,6,366.1028857,363.5048095,362.6387841
450,370,4,367.4019238,365.669873,365.0925227
451,380,8,374.8038476,371.339746,370.1850454
452,380,6,376.1028857,373.5048095,372.6387841
453,380,4,377.4019238,375.669873,375.0925227
454,390,6,386.1028857,383.5048095,382.6387841
455,390,4,387.4019238,385.669873,385.0925227
456,400,8,394.8038476,391.339746,390.1850454
457,400,6,396.1028857,393.5048095,392.6387841
458,400,4,397.4019238,395.669873,395.0925227
459,410,6,406.1028857,403.5048095,402.6387841
460,420,8,414.8038476,411.339746,410.1850454
461,420,6,416.1028857,413.5048095,412.6387841
462,430,6,426.1028857,423.5048095,422.6387841
463,440,8,434.8038476,431.339746,430.1850454
464,440,6,436.1028857,433.5048095,432.6387841
465,450,6,446.1028857,443.5048095,442.6387841
466,460,8,454.8038476,451.339746,450.1850454
467,460,6,456.1028857,453.5048095,452.6387841
468,470,6,466.1028857,463.5048095,462.6387841
469,480,8,474.8038476,471.339746,470.1850454
470,480,6,476.1028857,473.5048095,472.6387841
471,490,6,486.1028857,483.5048095,482.6387841
472,500,8,494.8038476,491.339746,490.1850454
473,500,6,496.1028857,493.5048095,492.6387841
474,510,6,506.1028857,503.5048095,502.6387841
475,520,8,514.8038476,511.339746,510.1850454
476,520,6,516.1028857,513.5048095,512.6387841
477,530,6,526.1028857,523.5048095,522.6387841
478,540,8,534.8038476,531.339746,530.1850454
479,540,6,536.1028857,533.5048095,532.6387841
480,550,6,546.1028857,543.5048095,542.6387841
481,560,8,554.8038476,551.339746,550.1850454
482,560,6,556.1028857,553.5048095,552.6387841
483,570,6,566.1028857,563.5048095,562.6387841
484,580,8,574.8038476,571.339746,570.1850454
485,580,6,576.1028857,573.5048095,572.6387841
486,590,6,586.1028857,583.5048095,582.6387841
487,600,8,594.8038476,591.339746,590.1850454
488,600,6,596.1028857,593.5048095,592.6387841
