id,diam,pitch,pitch_diam_d2,minor_diam_d1,minor_diam_d3
1,3.5,0.5,3.175240474,2.958734123,2.886565339
2,4,0.35,3.772668331,3.621113886,3.570595737
3,4,0.25,3.837620237,3.729367061,3.69328267
4,4.5,0.35,4.272668331,4.121113886,4.070595737
5,4.5,0.25,4.337620237,4.229367061,4.19328267
6,5,0.35,4.772668331,4.621113886,4.570595737
7,5,0.25,4.837620237,4.729367061,4.69328267
8,5.5,0.35,5.272668331,5.121113886,5.070595737
9,5.5,0.25,5.337620237,5.229367061,5.19328267
10,6,0.35,5.772668331,5.621113886,5.570595737
11,6,0.25,5.837620237,5.729367061,5.69328267
12,6.5,0.75,6.01286071,5.688101184,5.579848009
13,6.5,0.5,6.175240474,5.958734123,5.886565339
14,6.5,0.35,6.272668331,6.121113886,6.070595737
15,6.5,0.25,6.337620237,6.229367061,6.19328267
16,7,0.35,6.772668331,6.621113886,6.570595737
17,7,0.25,6.837620237,6.729367061,6.69328267
18,7.5,0.75,7.01286071,6.688101184,6.579848009
19,7.5,0.5,7.175240474,6.958734123,6.886565339
20,7.5,0.35,7.272668331,7.121113886,7.070595737
21,7.5,0.25,7.337620237,7.229367061,7.19328267
22,8,0.35,7.772668331,7.621113886,7.570595737
23,8,0.25,7.837620237,7.729367061,7.69328267
24,8.5,1,7.850480947,7.417468245,7.273130678
25,8.5,0.75,8.01286071,7.688101184,7.579848009
26,8.5,0.5,8.175240474,7.958734123,7.886565339
27,9,0.35,8.772668331,8.621113886,8.570595737
28,9.5,1,8.850480947,8.417468245,8.273130678
29,9.5,0.75,9.01286071,8.688101184,8.579848009
30,9.5,0.5,9.175240474,8.958734123,8.886565339
31,9.5,0.35,9.272668331,9.121113886,9.070595737
32,10,0.35,9.772668331,9.621113886,9.570595737
33,10.5,1,9.850480947,9.417468245,9.273130678
34,10.5,0.75,10.01286071,9.688101184,9.579848009
35,10.5,0.5,10.17524047,9.958734123,9.886565339
36,11,0.35,10.77266833,10.62111389,10.57059574
37,11.5,1,10.85048095,10.41746825,10.27313068
38,11.5,0.75,11.01286071,10.68810118,10.57984801
39,11.5,0.5,11.17524047,10.95873412,10.88656534
40,12,0.35,11.77266833,11.62111389,11.57059574
41,12.5,1.5,11.52572142,10.87620237,10.65969602
42,12.5,1,11.85048095,11.41746825,11.27313068
43,12.5,0.75,12.01286071,11.68810118,11.57984801
44,12.5,0.5,12.17524047,11.95873412,11.88656534
45,13,1.5,12.02572142,11.37620237,11.15969602
46,13,1,12.35048095,11.91746825,11.77313068
47,13,0.75,12.51286071,12.18810118,12.07984801
48,13,0.5,12.67524047,12.45873412,12.38656534
49,13.5,1.5,12.52572142,11.87620237,11.65969602
50,13.5,1,12.85048095,12.41746825,12.27313068
51,13.5,0.75,13.01286071,12.68810118,12.57984801
52,13.5,0.5,13.17524047,12.95873412,12.88656534
53,14.5,1.5,13.52572142,12.87620237,12.65969602
54,14.5,1,13.85048095,13.41746825,13.27313068
55,14.5,0.75,14.01286071,13.68810118,13.57984801
56,14.5,0.5,14.17524047,13.95873412,13.88656534
57,15,0.75,14.51286071,14.18810118,14.07984801
58,15,0.5,14.67524047,14.45873412,14.38656534
59,15.5,0.5,15.17524047,14.95873412,14.88656534
60,16.5,0.5,16.17524047,15.95873412,15.88656534
61,17,0.75,16.51286071,16.18810118,16.07984801
62,17,0.5,16.67524047,16.45873412,16.38656534
63,17.5,0.75,17.01286071,16.68810118,16.57984801
64,17.5,0.5,17.17524047,16.95873412,16.88656534
65,18.5,0.5,18.17524047,17.95873412,17.88656534
66,19,1.5,18.02572142,17.37620237,17.15969602
67,19,1,18.35048095,17.91746825,17.77313068
68,19,0.75,18.51286071,18.18810118,18.07984801
69,19,0.5,18.67524047,18.45873412,18.38656534
70,19.5,0.5,19.17524047,18.95873412,18.88656534
71,20.5,1,19.85048095,19.41746825,19.27313068
72,20.5,0.5,20.17524047,19.95873412,19.88656534
73,21,1.5,20.02572142,19.37620237,19.15969602
74,21,1,20.35048095,19.91746825,19.77313068
75,21,0.75,20.51286071,20.18810118,20.07984801
76,21,0.5,20.67524047,20.45873412,20.38656534
77,21.5,0.5,21.17524047,20.95873412,20.88656534
78,22.5,0.5,22.17524047,21.95873412,21.88656534
79,23,1.5,22.02572142,21.37620237,21.15969602
80,23,1,22.35048095,21.91746825,21.77313068
81,23,0.75,22.51286071,22.18810118,22.07984801
82,23,0.5,22.67524047,22.45873412,22.38656534
83,23.5,0.5,23.17524047,22.95873412,22.88656534
84,24,0.5,23.67524047,23.45873412,23.38656534
85,24.5,0.5,24.17524047,23.95873412,23.88656534
86,25,0.75,24.51286071,24.18810118,24.07984801
87,25,0.5,24.67524047,24.45873412,24.38656534
88,25.5,0.5,25.17524047,24.95873412,24.88656534
89,26,1,25.35048095,24.91746825,24.77313068
90,26,0.75,25.51286071,25.18810118,25.07984801
91,26,0.5,25.67524047,25.45873412,25.38656534
92,26.5,0.5,26.17524047,25.95873412,25.88656534
93,27,0.5,26.67524047,26.45873412,26.38656534
94,27.5,0.5,27.17524047,26.95873412,26.88656534
95,28,0.75,27.51286071,27.18810118,27.07984801
96,28,0.5,27.67524047,27.45873412,27.38656534
97,28.5,0.5,28.17524047,27.95873412,27.88656534
98,29,0.75,28.51286071,28.18810118,28.07984801
99,29,0.5,28.67524047,28.45873412,28.38656534
100,29.5,0.5,29.17524047,28.95873412,28.88656534
101,30,0.5,29.67524047,29.45873412,29.38656534
102,30.5,0.5,30.17524047,29.95873412,29.88656534
103,31,1.5,30.02572142,29.37620237,29.15969602
104,31,0.75,30.51286071,30.18810118,30.07984801
105,31,0.5,30.67524047,30.45873412,30.38656534
106,31.5,0.5,31.17524047,30.95873412,30.88656534
107,32,1,31.35048095,30.91746825,30.77313068
108,32,0.75,31.51286071,31.18810118,31.07984801
109,32,0.5,31.67524047,31.45873412,31.38656534
110,32.5,0.5,32.17524047,31.95873412,31.88656534
111,33,0.5,32.67524047,32.45873412,32.38656534
112,33.5,0.5,33.17524047,32.95873412,32.88656534
113,34,1.5,33.02572142,32.37620237,32.15969602
114,34,1,33.35048095,32.91746825,32.77313068
115,34,0.75,33.51286071,33.18810118,33.07984801
116,34,0.5,33.67524047,33.45873412,33.38656534
117,34.5,0.5,34.17524047,33.95873412,33.88656534
118,35,1,34.35048095,33.91746825,33.77313068
119,35,0.75,34.51286071,34.18810118,34.07984801
120,35,0.5,34.67524047,34.45873412,34.38656534
121,35.5,0.5,35.17524047,34.95873412,34.88656534
122,36,0.75,35.51286071,35.18810118,35.07984801
123,36,0.5,35.67524047,35.45873412,35.38656534
124,36.5,0.5,36.17524047,35.95873412,35.88656534
125,37,1.5,36.02572142,35.37620237,35.15969602
126,37,0.75,36.51286071,36.18810118,36.07984801
127,37,1.5,36.02572142,35.37620237,35.15969602
128,37.5,0.5,37.17524047,36.95873412,36.88656534
129,38,1,37.35048095,36.91746825,36.77313068
130,38,0.75,37.51286071,37.18810118,37.07984801
131,38,0.5,37.67524047,37.45873412,37.38656534
132,38.5,0.5,38.17524047,37.95873412,37.88656534
133,39,0.75,38.51286071,38.18810118,38.07984801
134,39,0.5,38.67524047,38.45873412,38.38656534
135,39.5,0.5,39.17524047,38.95873412,38.88656534
136,40,1,39.35048095,38.91746825,38.77313068
137,40,0.75,39.51286071,39.18810118,39.07984801
138,40,0.5,39.67524047,39.45873412,39.38656534
139,40.5,0.5,40.17524047,39.95873412,39.88656534
140,41,1.5,40.02572142,39.37620237,39.15969602
141,41,0.75,40.51286071,40.18810118,40.07984801
142,41,0.5,40.67524047,40.45873412,40.38656534
143,41.5,0.5,41.17524047,40.95873412,40.88656534
144,42,0.75,41.51286071,41.18810118,41.07984801
145,42,0.5,41.67524047,41.45873412,41.38656534
146,42.5,0.5,42.17524047,41.95873412,41.88656534
147,43,1.5,42.02572142,41.37620237,41.15969602
148,43,0.75,42.51286071,42.18810118,42.07984801
149,43,0.5,42.67524047,42.45873412,42.38656534
