id,pitch,accuracy_4,accuracy_6,accuracy_8
1,0.2,36,56,
2,0.25,42,67,
3,0.3,48,75,
4,0.35,53,85,
5,0.4,60,95,
6,0.45,63,100,
7,0.5,67,106,
8,0.6,80,125,
9,0.7,90,140,
10,0.75,90,140,
11,0.8,95,150,236
12,1,112,180,280
13,1.25,132,212,335
14,1.5,150,236,375
15,1.75,170,265,425
16,2,180,280,450
17,2.5,212,335,530
18,3,236,375,600
19,3.5,265,425,670
20,4,300,475,750
21,4.5,315,500,800
22,5,335,530,850
23,5.5,355,560,900
24,6,375,600,950
25,8,450,710,1180
